Name,Rating,Phone,Website,Link,Message,WhatsApp
"Athletica Fitness","4.7","="076988 69000"","No Website","https://www.google.com/maps/search/?api=1&query=Athletica%20Fitness","Hi Athletica Fitness, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"Gym Time","4.7","="092283 77777"","No Website","https://www.google.com/maps/search/?api=1&query=Gym%20Time","Hi Gym Time, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"Power House Gym | The Complete Unisex Gym","4.9","="091067 26098"","No Website","https://www.google.com/maps/search/?api=1&query=Power%20House%20Gym%20%7C%20The%20Complete%20Unisex%20Gym","Hi Power House Gym | The Complete Unisex Gym, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"Active Fitness Gym","4.7","="076001 61118"","No Website","https://www.google.com/maps/search/?api=1&query=Active%20Fitness%20Gym","Hi Active Fitness Gym, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"Muscle & Fitness Gym","4.8","="098247 30016"","No Website","https://www.google.com/maps/search/?api=1&query=Muscle%20%26%20Fitness%20Gym","Hi Muscle & Fitness Gym, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"Xtreme Fitness Gym","4.8","="092657 85688"","No Website","https://www.google.com/maps/search/?api=1&query=Xtreme%20Fitness%20Gym","Hi Xtreme Fitness Gym, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"F z gym & fitness","4.9","="098799 86395"","No Website","https://www.google.com/maps/search/?api=1&query=F%20z%20gym%20%26%20fitness","Hi F z gym & fitness, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"King's Gym","4.9","="097232 72262"","No Website","https://www.google.com/maps/search/?api=1&query=King's%20Gym","Hi King's Gym, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"The Fitness Gym","4.9","="070076 02212"","No Website","https://www.google.com/maps/search/?api=1&query=The%20Fitness%20Gym","Hi The Fitness Gym, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"My Fitness Zone Gym","4.6","="072268 38927"","No Website","https://www.google.com/maps/search/?api=1&query=My%20Fitness%20Zone%20Gym","Hi My Fitness Zone Gym, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"ABS Fitness Gym","4.8","="097272 55355"","No Website","https://www.google.com/maps/search/?api=1&query=ABS%20Fitness%20Gym","Hi ABS Fitness Gym, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"Fit Theories Gym","4.9","="070412 95412"","No Website","https://www.google.com/maps/search/?api=1&query=Fit%20Theories%20Gym","Hi Fit Theories Gym, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"Hustlers Health & Fitness","4.9","="075729 26060"","No Website","https://www.google.com/maps/search/?api=1&query=Hustlers%20Health%20%26%20Fitness","Hi Hustlers Health & Fitness, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"R K Fitness Gym","4.9","="092653 68522"","No Website","https://www.google.com/maps/search/?api=1&query=R%20K%20Fitness%20Gym","Hi R K Fitness Gym, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
"Avtar 11 Gym","4.9","="Not Available"","No Website","https://www.google.com/maps/search/?api=1&query=Avtar%2011%20Gym","Hi Avtar 11 Gym, I came across your business on Google Maps. I help local gyms get more customers by building modern websites. I created a demo idea for businesses like yours. Would you like to see it?",""
